isolate.id,guuid,short.read.accession,long.read.accession,genome.assembly.accession
OXEC-541,c49e9c01-a093-4085-9107-d496d0d65c57,SRR13993383,SRR30896254,CP163857-CP163858
OXEC-542,267d42ae-bbec-4a60-8c3a-c55d64484b64,SRR13991817,SRR30896253,CP163854-CP163856
OXEC-543,25769f92-0939-4820-99a2-45bad11db27d,SRR13991831,SRR30896252,CP163852-CP163853
OXEC-544,5d6de9e9-0221-4957-8253-ffaf169b670c,SRR13993361,SRR30896251,CP163846-CP163851
OXEC-545,eaae9d3f-4c52-4455-9c36-c26a1e437934,SRR13992470,SRR30896250,CP163843-CP163845
OXEC-546,d01f9d2c-54da-4872-8566-c1afcf4fd9d6,SRR13992625,SRR30896249,CP163840-CP163842
OXEC-547,3605755d-3ae8-42d1-9acd-44a8dcdbe51d,SRR13993602,SRR30896248,CP163837-CP163839
OXEC-548,17c78ccb-8923-4504-b8f6-d5fd8b9fb1a4,SRR13992772,SRR30896247,CP163829-CP163836
OXEC-55,af9ef6ff-c525-46f0-856f-c6565d3ad53f,SRR25738394,SRR30896255,CP164184-CP164186
OXEC-56,024d720b-7bf8-4524-bdd6-e9033cb3e91e,SRR25738404,SRR30896246,CP164179-CP164183
OXEC-57,66711c3f-4b8d-411f-a5fb-66a445d1de34,SRR25740500,SRR30896245,CP164175-CP164178
OXEC-58,9fbf2bb7-c4c0-42ef-8593-e697ae82ae1d,SRR25740898,SRR30896244,CP165574-CP165580
OXEC-59,25ab3532-2e70-44bc-8bb1-cca43e1ed9fb,SRR25738359,SRR30896243,CP164171-CP164174
OXEC-6,e0c5b5f1-8367-4a41-a284-6d104fb40381,SRR25738343,SRR30896300,CP163817-CP163822
OXEC-60,d5f95895-905e-4bca-abbc-f7cb24abeb61,SRR25740676,SRR30896242,CP164165-CP164170
OXEC-61,9a4d4e79-765d-4997-b396-e07b80c316ed,SRR25738153,SRR30896240,CP164163-CP164164
OXEC-62,c5458181-c4c4-420e-808c-6280257a1fba,SRR25738503,SRR30896239,CP164158-CP164162
OXEC-63,c00bae1b-6c27-4a33-8aa2-f185105c29bc,SRR25740899,SRR30896238,CP164151-CP164157
OXEC-64,0d9b6457-3985-4783-9a1f-eb4303e07546,SRR25738419,SRR30896237,CP164145-CP164150
OXEC-65,c2a87ddb-19ec-4130-bc75-6b46ef579f55,SRR25740503,SRR30896236,CP164130-CP164144
OXEC-66,9f942c8a-a8eb-42b7-af6a-68bacec7e7d6,SRR25738525,SRR30896235,CP164128-CP164129
OXEC-67,94f6bc98-629f-4681-b752-48fa0578a0c8,SRR25740479,SRR30896234,CP164123-CP164127
OXEC-68,568a0499-9287-4060-b3a8-a0f902296cd3,SRR25738316,SRR30896233,NA
OXEC-69,7faab318-09be-4d5f-bd78-0f6732b4c2a4,SRR25740450,SRR30896232,CP164120-CP164122
OXEC-7,79b258cb-51d8-4b15-bd61-eedbe08a5380,SRR25740983,SRR30896241,NA
OXEC-70,b2fc099e-60e2-483e-8409-23a74dd45b89,SRR25738325,SRR30896231,NA
OXEC-71,99d15922-2119-44ac-96b6-23e517e59a1e,SRR25738107,SRR30896229,CP165564-CP165573
OXEC-72,18f1e164-8efa-4a53-80d3-933330317637,SRR25740504,SRR30896228,CP164111-CP164119
OXEC-73,fc75ec09-9c26-4e4e-ae3b-8af3a088a9f9,SRR25738329,SRR30896227,CP164104-CP164110
OXEC-74,8ecaa31e-7f30-4996-92d5-355e309fcbcf,SRR25740482,SRR30896226,NA
OXEC-75,479b24e4-e663-4b48-8806-32ab4a0d6787,SRR13991943,SRR30896573,CP164100-CP164103
OXEC-76,a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef,SRR25740673,SRR30896572,CP164094-CP164099
OXEC-77,f7f96d71-c531-4474-bf24-e1af928ce607,SRR25740902,SRR30896571,NA
OXEC-78,aa4a28d0-b7e7-44dc-81ff-46f2c02f02e7,SRR25738074,SRR30896570,NA
OXEC-79,fc05bd5e-5394-441e-a14f-e704a7286813,SRR25738078,SRR30896569,CP164089-CP164093
OXEC-8,1d8bd4ba-914b-426d-994f-33de06bce224,SRR25740864,SRR30896230,CP163813-CP163816
OXEC-80,2495349a-a7a7-44d0-8248-59217b9ccdfd,SRR25738169,SRR30896568,CP164087-CP164088
OXEC-81,231066cc-6eef-4d84-ad83-e47237c54599,SRR25738180,SRR30896566,NA
OXEC-82,faf08b52-72c4-45c2-a199-0e72af8054ec,SRR25740670,SRR30896565,CP165561-CP165563
OXEC-83,dfa13158-d041-47ea-a49c-bf77e2487659,SRR25740669,SRR30896564,CP164085-CP164086
OXEC-84,5ed9bf54-f8c0-4218-b324-c0e60f94bbdf,SRR25740903,SRR30896563,CP164073-CP164084
OXEC-85,95736ba7-f19e-4909-86cc-231a533890cd,SRR25738193,SRR30896562,NA
OXEC-86,1c2a475f-944e-40b4-9540-9ad9fc777452,SRR25738338,SRR30896561,NA
OXEC-87,9a95f5a0-6536-4d16-afd2-78fb644606fa,SRR25738365,SRR30896560,CP164070-CP164072
OXEC-88,f64087a8-f3c0-4e51-a810-7dfb0e517a96,SRR25740461,SRR30896559,CP164068-CP164069
OXEC-89,d4c2f9c3-195c-4c2c-afbe-c58479b01d1d,SRR25740453,SRR30896558,CP164065-CP164067
OXEC-9,878f3d69-8fe9-42de-acd7-aa26af317c3d,SRR25740646,SRR30896567,NA
OXEC-90,91004d9f-7523-42eb-a104-91d827cffe19,SRR25740518,SRR30896557,CP164062-CP164064
OXEC-91,2628e27f-ee9d-4775-8b4b-1b94ef7be6ee,SRR25740519,SRR30896555,NA
OXEC-92,4f6e1dfc-6f41-4f81-bf3a-32de220c6cd9,SRR25740796,SRR30896554,CP164060-CP164061
OXEC-93,9ca18a07-46b0-4af1-8795-99bfa1717ab8,SRR25740666,SRR30896553,CP164057-CP164059
OXEC-94,e9bfdd8e-2bd5-43c3-8252-84db2bf94ca1,SRR25740477,SRR30896552,CP164048-CP164056
OXEC-95,503f417e-2290-4851-915d-a6eaf619e401,SRR25740709,SRR30896551,CP164035-CP164047
OXEC-96,876020db-7fb5-4d16-a10a-9869b66e6fac,SRR25740626,SRR30896550,NA
OXEC-97,6b335370-8663-492d-923a-ddbc44b90a88,SRR25740660,SRR30896549,CP164032-CP164034
OXEC-98,1d1eb0db-fc40-42b2-8432-51e10645cece,SRR25738461,SRR30896548,CP164022-CP164031
OXEC-99,3ac8e22f-029f-47d8-bca9-06289da35550,SRR25738492,SRR30896547,CP164011-CP164021
